input,output
"hey, ichijoukun.",ねぇ一条君
"i mean, the last person we'd suspect to be the man in yellow is someone who lost the use of their legs.",誰も足の悪い者が 黄色い男だと考えない
so what about circuit breakers?,では、ブレーカーはどうでしょう
it transforms our perception,認識を変え
i do feel bad about this.,愛想が悪くて悪かったな
0 students.,よーし!
my wife said that housewives needs a weekend too,カミさんが 主婦でも休日は必要だって
"well, we can make these meals to go and your weapons will be waiting outside but you should take time to relax.",その食事と一緒に外で渡してやる だから落ち着け
"ooh, bad idea.",おぉ失敗だわ
you want to eat it too.,食べ物に何の罪がある? 君も食べたいだろ
how can you even say it?,どうして そうなる?
"not for your clientele, clearly.",お客さんにとっては違ったけどね
it's 80 to 90% better than here.,腹は減らぬし 体は軽いし 十中八九 ここよりも よい所だ。
how much do you know?,テメエの言う余計なもんが どれだけの力を持ってるか➡
and they dressed us hurriedly.,早朝に突然起こして 着替えさせました
it feels really dangerous...,すごく危険な感じがするんだけど。
maybe your uncle did it to eliminate that worry,兄上様は そんな憂いを
i'm sorry carlos .. no.,ごめん カーロス 行けない
for them.,あの人たちにも
"the problem is, i really love paul.",問題は 私が本当にポールを愛してることなの
what the heck is that? a fog...?,ヘッ そうこなくっちゃ!
"you know, i want one of those tshirts that says my friend was a castaway, and all i got was this crappy shirt.","俺も1つ欲しい Tシャツと言っただろう 俺が貰ったのは 安っぽいTシャツだ"""
this appears in my puzzle calendar.,私のパズルのカレンダーにもあります
then transmits the image to the computer.,画像をコンピュータに送信します
one of the objectives of the one laptop per child,「1人に1台ノートpc」の 目的の1つは
don't do that.,止せよ
right as secondclass subject rather than extinction.,滅亡ではなく 二等臣民としての権利を。
it must be surrendered immediately.,それはすぐに降伏しなければなりません。
i didn't hear that.,全部聞いた?
working hard for suffering families,苦しんでる家族のために
"all this time, running from walkers you forget what people do, have always done.",ウォーカーから 逃げてる間は― 人の怖さを忘れてた あなたのおかげで
and it's a very simple operation it's making a fold,とても単純な動作です 一回折って
no way...,所以你要小心点
"but right now, quinn doesn't matter ... only skye does, and i need you to pilot the plane.",その通りだが 今 重要なのは クウィン じゃない スカイの為に飛行機を飛ばしてもらいたい
here's what you can trust. if you don't meet me with the money,そこは君を信頼してるが
"i have plenty of time, after all.",私には時間もたっぷりあるわけだし
that we'll save 600 million dollars in energy bills,電気代が毎年6億ドルもセーブされます
for a long time all ready...after the affair,寝室を別にしているような 有様でして。
i'm not yelling at anyone.,誰も叫んでない。
"but... you see, i already... just promise me one thing.",でもね あの 私 もう...。 -ただし 約束しろ。
it's...,すげえ テンションだな
you covered up the russians' involvement.,あなたはロシアの関与をもみ消した
it needs to be a man that is not interested in yuna.,ユナに 目もくれないような 男であること。
well? what is the enemy doing?,≪ ガオーッ! ひ~っ!
"and you need to grow up, and you need to face the facts","あなたには成長が必要なの 事実に直面することも,"
have you decided of your own accord?!,勝手に 決めんなっつったじゃん。
i didn't mean to.,そんなつもりは
one of them was injured when he was struck on the head with the shotgun.,内1名が散弾銃で頭部を殴られ 負傷しています。
go! shooting star dragon!,最後の攻撃 いけ シューティング・スター・ドラゴン。
i'd love to go.,私は行くのが大好きです。
and i can change my cut,切り方を変えることで
who is she?!,武天老師って 誰だよ!?
deep down in your core.,表現するということです
and then robert stirling came along with this genius idea,スターリングはさらに 天才的なアイデアを出しました
but the main frame has finally been completed.,まぁな だが ようやくメインフレームが完成した。
thanks for the hospitality.,もてなしに感謝する
mr. satoshi okuda.,奥田聡史さん
"e flat, fellows!","E flat, fellas!"
the argument against nuclear power is an emotional one.,原子力の議論は 感情的なものだ
"of this, your subjective world.",皆さんの主観的な世界を 作り出しているんです
"all right, that's enough.",よーし これでいい
i want to volunteer to be one of the lookouts in the clock tower.,私も監視塔に立たせて
"let's go, then.",もう 放っといて
"others can't be saved, 'cause others are just plain evil.",他を救えなかったのは 悪に染まりきってたからだ
yep... just finished.,ちょうど終わったよ
so let's imagine then that you're a roaring success,恋愛が 絶好調で 進んでいるとしましょう
why you agreed to come out here.,どうして素直に ここへ来たの
he's dead.,亡くなりました
i'm truly sorry! i'll also pay for the cleaning!,《≪本当に ごめんなさいnクリーニング代 払いますから》
"start now, make a change gonna come around",今すぐに 変れるよ 意見を変えよう
we may be able to get out of here!,ここから出られるかもしれねぇ
we gotta go. but that's what he wants. he's forcing us to leave.,だがそれでは奴の思う壺だ
this is what i like about him.,るりちゃん 私が好きなのはね こういう所だよ
biotechnology and pharmacology into an information technology,生物工学や薬学を情報技術へと変え
who am i?,わたしは誰だ?
no closer.,そこまでに
i'm curious whether... it's difficult for you to see amazing amy heading down the aisle.,彼女に先を越されて プレッシャーでは?
maybe like once or twice.,1、2度はあるけど...
"tore at him, tore him apart.",かぶりつき 真っ二つに
i'm sorry,すいません すいません すいません
speaking of which,まぁ ひとまず
see?!,そうみたいね。
and isn't the most comfortable process.,あまり快適なものでもありません
excuse me?,もう一度?
it's the same reason you thought you saw walter in the hospital.,病院で ウォルターを見て 考えたのと 同じ理由...
have a nice flight.,お空を楽しめ!
"at last, the big day came i made my claim",いよいよ出産の日が来た
keep your head down.,立つんじゃないぞ。
it was nearly the same time that a shoot to television and shigemura suddenly disappeared during the program appearance,テレビへの銃撃と茂村君が番組出演中に突如消滅したのがほぼ同時刻だった
"with our lives, i think we can go back to",ディオゲネスや孔子を 見習うことではないでしょうか
you have five minutes. some of us actually have to show up for work.,すっかり 運んだね
"yeah, we gave it to a drug dealing monkey.",指はヤク運びのサルにくれてやった
be they momentous occasions,それが重大な出来事であれ、
"i've fracked over 3,000 wells in my life.",これまで3千カ所以上で施工してきました
"48 years old, unmarried.",48才 未婚
"it's practice, it's training, and it's (sobs)",マジックは練習であり トレーニングであって-
i wanted to be strong like them,僕も二人のように強く
"this time, ill protect you.",今度は僕が守る
"this key chain, you bought it at the souvenirs shop near the temple.",このキーホルダー あなた お寺の近くの土産物店で買った。
ow ow aww,イテテテ...。
"come on, let's go, let's go!",ぽってー 行くよー
"good. but, if i find out he's been playing you, doctor.",結構 だがもし 奴が君を騙していたとなれば━
"which includes usability, understanding",これにはユーザビリティや理解が含まれますが
"um, then there's, uh, sammy runyon.",あぁ それから サミー・ラニヨンにも
only about one in every four million kids has this disease,約400万人に1人の子供がこの病気にかかりますが
"in the original case files, my father circled the feet of all the victims, like they had something in common.",オリジナルの事件で 父は 犠牲者の足に拘って 共通点を探していた
until he tells you what you want to hear.,こんな話が 聞きたかったんだろ?
"i mean, how else do you teach 150,000 students?",15万人の生徒に教える方法が 他にありますか?
that's what it seemed.,ウンサンのようですが 乗せましょうか?
"you're going to be the next hokage, kakashi sensei?",カカシ先生が 次の火影になるんですか?
you sure about this?,本当にいいの?
"just like you, chiakisama!",ああっ。 なるほど! さすが 千明さま。➡
youll also find a good husband soon.,ちょっと あんたも 早く いい人見つけなよ。
"yes, magister, is true.",はい 事実です
you're telling me the cops don't have this?,警察は持ってないのか?
thank you!,ありがとうございます...
he climbed an electrical tower the night of the accelerator explosion.,爆発の夜に鉄塔に登った男か
secure all corners in cell block c.,"独房棟""C""で 四隅を守れ"
it's the first time i've drank this much.,私 こんなに飲んだの 初めてですよ
"if i call and someone is beside yukiho, then she will have to lie.",〈横に誰かがいれば 雪穂はささいでも〉
"yeah, sure. here's what we can do.",あぁ、選択肢は1つだ 今日、君が300ドル払って―
these zombies of yours are pretty tame.,ゾンビを飼い慣らしているな
"detective, the barfly just left the building through the back exit.",刑事、バーの常連だ 後ろの出口を通って 建物を出ました
"oz, knock it off.",オズ やめて
the expansion of space.,膨張の速度を衰えさせているはずです
i am hurrying!,じゃなくて... 私 この度 神様になってるんですけど
it's not just making about,自己組織化で携帯電話や
the issue has been settled! would be what they say.,「これにて 一件落着!」 みたいなことだよね?
only spectacular events,派手なだけの出来事や
it's because i love her that i want to let her do what she wants!,好きだからこそ今ちーちゃんの望むようにしてやりたいんだ
"okay, so then you know that we need it to make cell cultures grow, right?",細胞培養に使うの 知っている?
"and lo and behold, people started uploading their videos.",するとみんながビデオをアップロードしはじめたのです
well ... my father's bruises ... where did they come from ?,あの... 父の体の あざ あれは何なんですか?
you have to live!,恥をさらしてでも生きるべきよ
world permissible yes nave severe thing,世上可没有这种耍酷的事
"a couple of years later, i meet them.",2年後 彼らに会いました
and count out loud with him so he does it right.,彼に向かって数を数えて
julia wants to talk to you.,ユリアが話したがってる
no i have not seen it really? yeah true.,いいえ 見て無いわ - 本当に? - ええ 本当よ
no. nothing like that.,ないよ 何にも無い
get out now!,今すぐ 出てけ!
i'll be waiting for you there.,夏目様 お待ちを お願いしたいことがあるのです!
"i usually forget things, but i remembered it!",覚えてるんだわ 忘れっぽいのに、今回は覚えてる
we don't really like to only consume.,消費だけしていたいと思ってはいなかったのです
oh. of course. good question.,それはいい質問ですね
will you also participate if you can?,よろしければ 署長も ご一緒に参加されますか?
"brave, i am not as sweet as the maroou gariath.",勇者よ 私は 魔王ガリアスほど甘くないぞ。
i was sure it was gonna be filled with body parts but there was just some church crap and an old freezer.,解体した 死体を置場だろ 他はガラクタと 古い冷凍庫
"say, what is this?",何だよ! 仙人のごちそうって これかよ!
thank you!,わぁ 鞍馬ありがとう
"whoa, whoa! what are you doing? we have to make a toast first!",(関口) おいおいおい 何やってんだよ 乾杯だよ
cabaret is a time of gold!,キャバクラは金策だ~
"where you are is of very little interest, my dear.",あなたがいる所には 殆ど興味がない まあ
we can forget about studying to play tennis in the afternoon and go swim in the river!,勉強は忘れ 昼はテニスに川遊び
you told me it looked good.,似合ってるって言ったろ
i will.,ええ 任せて
i know you beat up burtie.,バーティを殴ったな
please go back to the first terminal hit the enter key.,最初の端末に戻って エンターキーを押すんだ。
"well, just keep talking about that little hall of light touching your heart and she'll come round.",まあ、胸に入ってきた 光の玉のことを話してれば... そのうち気が変わるよ。
"well, it looks like a sword.",剣に見えるけど
is like a dad.,父親みたいなもんだ。
"if you're irritated, how about smacking this blacklisted company thoroughly?",イライラしているのなら ここはひとつ ブラック企業をガツンとやっつけて➡
since when have the cia and fbi been such good friends?,いつからciaとfbiが 仲良くなったんだ?
eh. hehe...,ええ。 ヘヘ...。
the story has yet to end.,まだ物語が終わったわけじゃない
"this is my only special move, demonic commandeer.",僕の唯一の必殺技 デモニック・コマンディアは
one.,ワン
because i was afraid.,怖くて聞けないって。
"this man has betrayed her, made her fall in love with him.",この男は騙して惚れさせた
chief! an outside call for you.,課長 外線にお電話です。
"ouch ! ryuji, are you okay ?",いてっ! 隆司 大丈夫か?
i'll stop writing my delusions diary,妄想日記は 封印しますが
[ groans ] mother...,お母さん
"it's me. please, four, look at me. look at me.",お願い、フォー 私を見て 私を見て
"and, uh, did your husband's faith... falter after he was told about the cancer?",彼はガン宣告の後 信仰は揺らいだ?
are you afraid to become an accomplice in hiding the fact?,実は植物状態だ という事実を隠した共犯になるのが怖いか?
i look like a putz. you look sharp. look at all them buttons,この間抜けな格好 ―しゅんとしてるぞ
and they climbed onto that ball far less often,するとボールが熱い時と比べて
who's the spy?,それで スパイは 誰だと言うんだね。
through a process of refinement,手直しやトライアルアンドエラー
and in these books i discovered the idea of task shifting,これらの本の中で 私は世界の医療においての
i'm trying to keep you safe.,安全のためです
what's this sheet for?,何 このシーツ
"wearing tuna tags, lightbased tags",マグロタグである 発光式のタグを付けることで
is it lucky for you?,あなたのラッキーNoですか?
"her sons, one of whom had asthma",家族のうちぜんそく持ちだった
"i mean, anyone who has been to russia would know",まあ ロシアに行ったことのある方は おわかりでしょうが
"the next time, i will get back to you.",また今度 お願いします
i will.,頑張ります
"i was at the university of chicago, in my third year",私はシカゴ大学の3年生でした
and you can still survive while you're traveling from one place to another.,惑星から惑星に移動する間も生きられます
he found out right before he came back to mi6.,彼がmi6に戻る直前に知ったと思うわ
"okay, i got him.",いいぞ
"look, hayden, i love you.",聞いて ヘイデン あなたを愛してる
maybe we should just get pizza.,ピザでもとれば -ダメよ
within their organization.,上位機構
a revolution!,是的 那群人说什么要革命
we will avenge our mother russia.,我々は母なるロシアの 仇を討ちます
"seriously, who the hell are you?",マジで 一体誰なんだ?
"security, this is olivia taylor.",警備係 オリヴィア・テイラーよ
do i even make the top ten?,私もトップ10を作ろうか?
"mustang, huh...?",マスタングか...
that's why i dropped out. you were bullied?,だから やめた いじめか?
"i was recommending sanaes bread to a customer, but he said its so gross that its inedible.",早苗のパンをお客に勧めてたんだが、 気持ち悪くて食えないっていうんだよ
the man who calls himself rodrigo took something from me.,ロドリゴは 俺から金を奪った
for as long as is reasonably possible.,引き渡すように見せかけるんだ
it's healing well...,ありえんじゃろ。
ok. if that changes...,分かってるけど
but if one of them can find a way to live with one of us,だが一部の者は 共存の道を選択する
what if they don't?,もし嫌だと言ったら?
did you think that it would be okay to be me?,僕だから当たってもいいと 思ったんですか?
and everyone should open a beehive,皆さんに巣箱を持ってもらいたいです
captain...,へっ!? 貴様もだ 隊長格。
my office should've been renovated a year ago.,このオフィスは一年前改装されるはずでした
you have blood on your hands.,あなたの手は血まみれね
"hey, dale, can you see what that is?","おいデール, なんだと思う?"
but... someday... a second and third me... will...,「だが... 第2 第3の僕が... いずれ...」
i'm really hoping that we can meet before you leave town so i can explain the confusion earlier today.,あなたが町を出る前に お会いしたいんです 今日の混乱を説明できます
but that's a personal matter.,でも それは一身上の都合です
"in light of today's severe summer heat, officials suspect that the lunches were improperly stored",(アナウンサー) 今日の日中の最高気温は 33度を超える真夏日で 弁当の保存状態が悪かったせいでは ないかとみられています
isn't that what he deserves?,それが彼に望まれる事では?
"goldman, leyman brothers, merrill.",ゴールドマン リーマン・ブラザーズ、メリル・・・
what amazing speed!,すごい速さだ。 えっ?
are there no parts in nature?,自然には部品は存在し無いのでしょうか?
it was simply theft!,たの
i apologize for the incident.,はい。 この間の件 悪かったね。➡
arietta! are you going to betray me?,アリエッタめ 裏切るつもりか
better get maaco!,今度はマコー買えよ!
"in my own bed, at the age of 80 with a bellyful of wine and a girl's mouth around my cock.",自分のベッドの上で 80歳のときに 腹一杯のワインと 私のアレに少女の口があるときに
nothing.,成果なし。
you did it! go for it. i'll definitely go root for you.,やったな お前! 頑張れよ 絶対 応援 行くからな。
we were so young then,僕達が若かった頃
"commander, you should come inside. you're going to wanna see this.",船長 中に戻って これを見てください
and he said there was a man at the river and...,彼が言うには 川のそばには男が居て・・
it's a neurotoxin.,神経毒だ
any evidence that was left was washed away with last night's rain.,全て雨で流されちまった
graciella's with megan. she's fine. oh.,グラシエラは メーガンと一緒よ あの子は 大丈夫 こんなことが起こるなんて 信じられない
and believed to have intersected and twisted at the throat.,喉の前で よじって 交差していたと考えられる。
what the hell is happening?,どうなったんだ?
is that true?,桂さん 無視ですけど。
your doctor said you need to walk an hour a day.,まだ14分よ 医者に1日1時間歩けって言われたでしょ
because it is annoying! what is this !,うっとうしいからって! なによ この~!
some things can't be delegated. hmm.,他人に任せたく無かったのよ
so why am i so worrisome now?,"""どうして 今は 焦っちゃってるんだろ。"""
get out of there!,そこから逃げろ!
that's because it was free!,この想い輝くから
it was an accident. lee?,ザックは基礎飛行ができてなかった
what is your name?,先生は平気なのか
"i'm very sorry, gaston, but but...",とても無理よ
'til one day i saw this little girl.,ある日 その少女に会いました
did you kidnap me?,誘拐したのか?
here is the beaver. and here is the stream,これはビーバーです そしてこれが小川
"now that the target's lowered the trigger number, the bomb could blow up before midnight.",そうターゲットは 夜中までに爆発させる
"now you would probably imagine, as she did",彼女がそうしたように、あなたも
you killed me.,ぶっ殺された
walder frey.,ウォルダー・フレイ
"no, sir. turns out she charged some guy a lotta money and didn't put out.",男から金を取って やらせなかったらしい
then i'll never have one.,じゃあ赤ちゃんなんかほしくない
and tatsumi are...,巽のことを...。
with the modern communications,この近代的な手法で
chip. chip in the chair. you on the floor.,チップ 椅子に お前は床
and we got it all wrong.,すべて間違っていました
i use the jutte at my waist as punishment...,《小銭形:そんなヤツらには オレの腰の十手がうなる》
don't leave me alone with this lunatic.,この変態と一人にさせないで!
so are the rug and the paintings.,でも ベッドの装飾は エアオブジェクト。 じゅうたんも絵もね。
no way...,まさか... キリハが...。
answers of historical figures' names written in hiragana.,平仮名で解答しても正解と しています。
"of what other people, usually men, will think of you.",どう思われたいかで服は選ぶもの」とか
"yeah, that's particularly gorgeous it's the tv dinner of 2001.",2001年のTVディナーが見えますね その作品は特に素敵です
what other people's pain feels like?,てめえにも 人の痛み 分からしてやろうか?
an impressive if misguided effort.,ミスリードしなけりゃ 立派だったが
dr. edison is going to have a very difficult time reassembling the remains.,エジソン博士は 遺骨を再構築するのが 大変でしょうね
there are approximately 250 aircraft in the sky.,現在 飛行中の航空機は約250機です
there is no need for two.,2人は いらぬ。
we realized we could do something about it.,自分たちには何か できることがあるんだと知りました
you got me back good,うまいこと返された
"yeah, everything's messed up around here apparently.",何もかも混乱状態だ
"come on! come on! oh, god.",しっかりして 何て事
"i mean, just to tell me what i already know?",どうせ結果は同じだぞ
she is still nowhere to be found.,彼女は ずっと 姿を消したままなのよ。
any sign of them?,様子は?
and we can't take care of all the troubles 24 hours a day.,24時間 付きっきりで 面倒 見る事も できない。
and then all of a sudden a lightbulb goes off and he says,すると医者が突然ひらめいたように
"oh, i got that coconut water you wanted.",望んでたココナッツ水を 手に入れたわ
so how this actually works,これが実際 どう機能するかというと
these headless bodies can live for about a day,頭がない状態でもおよそ1日は生きることができます。
are you high?,飛び降りるぞ - ラリってる?
what i am doing now,これ 任意の事情聴取って事で よろしゅうござんすよね?
because they're watching you.,ずっと監視されていた
"conan, you have some too!",コナン君 あれ!
"well, i've never heard of her nor her russian parents.",彼女のロシアの両親の事は 聞いたことがないわ
who is it?,着物はどうした 誰かに取られたのか
i can't see anything in there. let me have it,よう見えへん。 貸して。
flight distance for the warheads' electronic timer fuse...,弾頭の電子時限信管が作動する飛距離は 50メートルという所か
both counsels,≪両代理人とも
i had to pee. who were you talking to?,おしっこ 誰と話してたのよ?
"and i think you're going to be able to see, use that infusion",これらが与えられることで、
what about colombia?,コロンビアはどう?
and your girl on fire is burnt out.,彼女は疲れ切っています
are we done with the hugging and learning?,抱擁と お勉強は 終わった?
"taking a break, maousan?",今のうちに休憩に入りな
it wouldn't have stopped a breakin.,侵入を止められなかったかもしれない
"look, i understand. you're a little rusty, but you're not seeing the upside here.",確かに感覚は 少し鈍ってるだろう
henry never was a poet.,ヘンリーは詩人じゃない
you punched a reporter.,レポーターを殴ったのね
don't touch me!,私に触るな!
if he does it'll be too late!,起こってからじゃ遅いわよ!
is that true?,本当かどうか 怪しいもんだぜ...。
"what was the name your brother had tattooed on his arm? oh, my god!",ベンの腕の入れ墨は 何という名前?
"so there was no job, no food.",なので、仕事もなく、食べ物もありません。
now today we treat high blood pressure mostly with pills.,高血圧の治療には現在錠剤が用いられています
that's right.,もう いいか~い! もう いい~よ
"oh, no, i get it now.",いや、今それを手に入れる
her personality is just the finishing touch to her beautiful face.,性格込みで あの顔が 出来上がってるわけですし。
earth? why go to such a place?,そんなやつに 修行などしてやるもんか。
i want to give you a hug.,などというようなことを言えたはずですが、
we now understand that the entities that attacked us are made of energy.,我々を攻撃したのは エネルギー体です
she'll he along.,さあね。 どこかに行ってるんだろう。
it had to be done.,あれで良かったんだ
that thing was... building or something.,さっきのは何だ ビルのような...
"be a good girl for me, will you?",おい あれ巨人だよ
now my career may last a little longer!,これなら仕事として 少し長く続きそうです
what?,一体...何が...
he was immolated.,焼消されていました
"is that, let's put aside the morality of all the right and wrong of it all",道徳的な善悪の判断をいったん脇に置き
i was invisible.,見えなかっただけ
you were not advanced to ranger...,昇格には不合格だった...
people like her.,そのままの彼女
what if he doesn't? he will.,戻らなかったら?
i created a video which was based,ビデオを作りました
that's what it's about. it's this expansion of room to make differences.,そういうことなのです 違いを作る余地を広げるということなのです
i noticed the smell of summer.,是执行委员故意这么做的吧
fierce fight at the ghost ship!,幽霊船であった。
"we're waiting for your father, aren't we?",お父さん 待つに 決まってんでしょう。
"why, if it isn't the shogun.",だが どうしてかな...。
"but first we ought to be capturing bigger, cheaper savings",しかしまず 私達はこれまで 無視され 教科書にもなかった
why did you not call for saber?,なぜセイバーを呼ばなかった
what to do...,何? 何する気ですか?
my apologies.,お母さんお詫びに何かプレゼントしたいなぁ
only white is useless but shut up!,白だけは ダメアルけどな。 黙れ~!!
"under the juvenile act, you can kill people and still be protected.",貴様らは自分たちが少年法で守られて 好き勝手に人を殺すことができる
this is a computer telling us,ここではコンピュータが
crime scene processed the scene.,現場検証では
what did you say?,何と言われたのじゃ?
but eventually they did come around.,最終的にはそれが行われ始めました
when school went into summer break...,学校が夏休みを迎えると
you're no betty grable.,ベティ・グレーブルではないわ
without questioning my right to do so,自分にそんな権利があるかなんて考えもせず
"no, i didn't. it was all their idea.",この子たちのアイディアよ
but were able to light that,電球に明かりを点けることに成功し
you two have a very simple task.,こんな簡単なことも出来ないのか
i thought that the black biker was the slasher.,私は 黒バイクさんが斬り裂き魔だと思ってました
like this odd country road.,この変な田舎道のよう
please let me do it.,予算がかかり過ぎるな。 やらせてください。
if it were me,はっきりと自覚していたのか...》
"come on, go answer it.",ほら、出てよ
"i can't, i'm sorry.",待て 待て 待て ジェス 君が望むものは何でも
to figure out this flying machine.,飛行機械を開発していました
what?,お気の毒に
all right. you got her? yeah.,よかった
"excuse me, kim. the owner's in the house.",ちょっと失礼
this man is brilliant.,この男は 極めて優秀だよ
down for the fivefooter,身長の低いかた 高いかた
i want you to say...,私に言って...
flashing.,フラッシュ
try it some time.,言うんだ
and you're strong and decent and honest.,そして まともでまじめ
"i have a real feeling about this, sir.",本件、自信があります
katsura's fingers... so pretty,桂の指 綺麗
i don't get him...,ワケ分かんない
"yes, me, too! bye then!",那你要拿它们干什么呢
"i mean, who would design an experiment like that?",一体誰が こんな実験方法を 考えるんですか?
no common language or anything,共通の言語もないのに です
"and before broadcasting this video, we want to warn our viewers that these are extremely graphic images.",この映像は生々しいので 視聴にご注意を
would you like a brochure?,案内書、いかがですか?
think of all the problems that we're facing at the moment.,今 直面している問題全てについて 考えてみましょう
you have the product?,ぶつはあるのか?
"no, dan!",ダン!
"oh, that's all right, captain.",気をつけろ! わかった。
in the heat of battle.,期待したように機能しませんでした
what? the fog lifted... could it be flowing outside?,まさか 外に流れてるのか。
"easy there, kansai girl.",焦んな 関西女
a bit left.,もうちょっと 左。
german authorities have refused us access.,ドイツ当局は面会を拒絶している
that it's possible that the universe doesn't need carbon to be alive;,炭素は生命に必須ではなく なんでも使うことが出来る
ordered you room service.,ルームサービスを頼んだ
they aren't good enough opponents against we who are trained beyond trained.,鍛錬に鍛錬を重ねた 我らの相手ではござらぬわ!
who shall i make it out to?,誰宛に?
giviog us four more days.,後四日で成功しないと。
i'm.. uh.. sorry! um..,自分 あの... すいませんっす!
how did he get it?,どう手に入れた?
"hikoichi, watch fujima's actions closely.",けっしょう
nice night.,いい夜だ おやすみ
that's committed to work through partners,取引先を通じて 2015年までに
"but yet, we should do our best to protect our city.",それでも、我々の町を守る為に 最善を尽くすべきです
in my eyes you're the one who not qualified to be in the music industry.,私から言わせてもらえば 貴方に音楽業界にいる 資格なんてないわよ
just think of blue skies and cornfields.,青空と畑を思い浮かべて
and stayed vague about the preparations.,いろいろ うやむやに しとこうって事か。
but you know that i can't.,でも話せない
corruption,汚職
i'm sorry. he's broken.,ごめん 壊れた
"if we accept the theory of evolution, then",「進化論を受け入れれば
"hey, satoru!",おい サトル!
"since then, he started demanding more and more",お!俺らの番だ! いよいよですね!
is it's victorian design merged with a little bit of modern propulsion.,少しだけ近代的になったものですから
why should i tell you?,なんであんたなんかに話さなきゃなんないわけ
there was a place called otogibana city.,あるところに御伽花市という町があり
"therefore, if we can find the right cells",適切な細胞を見つけ
i do not want anyone to see it.,大丈夫ですよ 誰も見たくないですから
i'm not anymore?,僕は居ないの?
danger around every corner.,どの曲がり角も 危険だわ
i... i guess...,まッ... まあ
"if this is a lie,..",嘘だったら こいつも仲間も皆殺しだ。
oneitis can be translated as an infection from one.,“One-itis”だと「一人に執着し 報われない片思い病」と言うわけです
i would go.,私は行きます
"and then, they would dance.",共に踊ったものでした
i hope i didn't get you stranded or anything.,聞いてよ、君を家まで乗せて行け ないかと思って...
look for him... isn't that hard? at first glance.,いくら お化粧したからって ブスが変わるわけじゃないですし
you're not gonna believe what else we found.,信じられないが 他にも...
mr. holmes?,ホームズさん?
"i mean, you know, uh, skirt suit, heels.",スカートや スーツにハイヒールだ
now go. okay.,いいですか?
find her...go!,彼女を見つける 行って
getting caught wasn't part of the agreement.,捕まるのは計画していなかった
and the magnitude of the problem that we face.,手の打ちようがないような感覚になります
"no, nica, you did this to me.",ニカ それは俺のセリフだ
no. what are you doing?,何をした?
who realized that 67 percent of their students,学生の67%が毎日の食事を
get out of here. are you coming?,一緒に?
the duct tape is gone,ガムテープも使っていません
"which, i'll remind you, you didn't act on.",もう一度言うよ 君は何も悪いことはしていない
wait. gae!,待てよ!
"hi, neal.",ニール
i feel like i'm letting everybody down.,みんなを失望させたような気がする
there's a man who really knows how to live.,悟りきってるわ
attack the enemy monster!,ネオ・タキオン ダイレクトアタック!
your mate here... he was mummified.,ここにある こいつは ミイラ化してる
"gradually, thinking about it became more of a burden.",だんだん そう考えてる方が 重荷になってきましてね
"hahaha, dr. sagara, more pretty words.",ハハハハハ... 相良先生 また きれい事を。
"ah, here we go with this again.",あーまたかよ
ideas aren't his strong suit.,彼は単純ですから
so we have to store it when we can.,蓄えられる時に 蓄えとかなきゃならねえ
leon tao.,レオン・タオだ
some of them we're already beginning to use,そのいくつかは既に
"haruka, prepare a bath for me",遥 風呂いれてくれ。
it's just a guess.,推測だ
and will be...,「フェスに」。 「出ることになりました」。
this team wants that championship.,優勝を狙っています
"ah, you know, force of habit.",習慣の力さ
you look outside: you have all that beauty that you see,外には美しい景色が広がってますし
you get to let go.,全てを忘れて
"oh, listen, next time you speak to her, could you, uh, put a good word in for me?",今度 女神と話す時は... . 僕の事を よろしく と
chicken eggs worked really well.,鶏卵が大変適していたのでした
"you just need to stay kaname madoka, just like you have so far.",貴女は 鹿目まどかのままでいればいい
it will only end if we complete our work.,ただの終りだ 使命を果たさなければ
"in all political, economical and social activities.",社会活動において 女性の参画が完全に否定されます
i have to go.,ぼくは 行かなくちゃ
wait a second.,待った
such a discovery has made me more tolerant,こうしたことに 気付いたことで
"actually, i once paid like 60 dollars",私は素晴らしい役者が演じる
the body is then transported inside of the body bag,袋に包まれた遺体が
clear.,異常なし。
can you shade some sunlight and effectively compensate for the added co2,太陽光線の入射を遮り 増加分のCO2を効果的に相殺し
it was unanimous. yeah,満場一致だった - そう
hiding one's money in the ground is the same as hiding it in the closet.,自分の金を タンスに隠すのと 地面の中に隠すのと 同じ事だろ。
"ryan harding, agent troy riley, bau2.",ライアン・ハーディ トロイ・ライリー捜査官だ BAU2
"just ate, that's the only thing holding me back.",もう冒険は十分さ。 ゆっくりしない?
"well, that's nix for you.",まあニックスはそんな奴だ
what is this? i can hear something...,聞こえてるかい この声が
if i can't avoid the catastrophe to come,未来の破局が避けられないなら
what's that even mean?,それは、どういう事?
but surely you will notice it soon,でも きっとすぐに気づくね
were did you go? to the suppliers. yuri! you took off without permission!,お前 行ったんか? 取引先。 勝手に 由梨ちゃん連れて!
and that's over 20 hours of video every minute.,その量は1分間に20時間分以上になります
like me.,僕は、僕が嫌いなんだ。
because what motts is seeing is actually this.,モッツが実際に見ている映像はこれです
this is mom.,これが お母さんで。
"your majesty, please execute me!",殺してくださいませ
"you think, i put mine in the blue bin",「リサイクルボックスにいれたんだ」
the answer is what i call ancient food miles.,答えは 私が「古代のフードマイル」と呼ぶものにあります
you will understand nothing with my type of english.,僕のような英語じゃ 何もわからないでしょう
you're not getting out of there.,早くそこを出て下さい
